Starting Time: 4/23/2012 11:10 AM	 	 	 	 	 	 
Seconds	Thermocouple 1	Thermocouple 2	Thermocouple 3	Thermocouple 4	MainPres	PrepPres
24.629409	NaN	NaN	NaN	NaN	1.498526E-10	4.560436E-10
24.705413	NaN	NaN	NaN	NaN	1.498526E-10	4.560436E-10
24.771417	NaN	NaN	NaN	NaN	1.498526E-10	4.560436E-10
24.872423	NaN	NaN	NaN	NaN	1.599039E-10	4.527497E-10
24.950427	NaN	NaN	NaN	NaN	1.599039E-10	4.527497E-10
25.032432	NaN	NaN	NaN	NaN	1.599039E-10	4.527497E-10
25.131437	NaN	NaN	NaN	NaN	1.599039E-10	4.527497E-10
25.206442	NaN	NaN	NaN	NaN	1.599039E-10	4.527497E-10
25.271446	NaN	NaN	NaN	NaN	1.599039E-10	4.527497E-10
25.372451	NaN	NaN	NaN	NaN	1.552086E-10	4.506054E-10
25.454456	NaN	NaN	NaN	NaN	1.552086E-10	4.506054E-10
25.520460	NaN	NaN	NaN	NaN	1.552086E-10	4.506054E-10
25.627466	NaN	NaN	NaN	NaN	1.552086E-10	4.506054E-10
25.693470	NaN	NaN	NaN	NaN	1.552086E-10	4.506054E-10
25.771474	NaN	NaN	NaN	NaN	1.552086E-10	4.506054E-10
25.872480	NaN	NaN	NaN	NaN	1.547184E-10	4.506054E-10
25.951484	NaN	NaN	NaN	NaN	1.547184E-10	4.506054E-10
26.033489	NaN	NaN	NaN	NaN	1.547184E-10	4.506054E-10
26.118494	NaN	NaN	NaN	NaN	1.547184E-10	4.506054E-10
26.205499	NaN	NaN	NaN	NaN	1.547184E-10	4.506054E-10
26.281503	NaN	NaN	NaN	NaN	1.547184E-10	4.506054E-10
26.371509	NaN	NaN	NaN	NaN	1.531202E-10	4.493781E-10
26.448513	NaN	NaN	NaN	NaN	1.531202E-10	4.493781E-10
26.514517	NaN	NaN	NaN	NaN	1.531202E-10	4.493781E-10
26.658525	NaN	NaN	NaN	NaN	1.531202E-10	4.493781E-10
26.746530	NaN	NaN	NaN	NaN	1.531202E-10	4.493781E-10
26.857536	NaN	NaN	NaN	NaN	1.557200E-10	4.529401E-10
26.982543	NaN	NaN	NaN	NaN	1.557200E-10	4.529401E-10
27.105550	NaN	NaN	NaN	NaN	1.557200E-10	4.529401E-10
27.188555	NaN	NaN	NaN	NaN	1.557200E-10	4.529401E-10
27.271560	NaN	NaN	NaN	NaN	1.557200E-10	4.529401E-10
27.377566	NaN	NaN	NaN	NaN	1.516569E-10	4.550632E-10
27.447570	NaN	NaN	NaN	NaN	1.516569E-10	4.550632E-10
27.520574	NaN	NaN	NaN	NaN	1.516569E-10	4.550632E-10
27.660582	NaN	NaN	NaN	NaN	1.516569E-10	4.550632E-10
27.735587	NaN	NaN	NaN	NaN	1.516569E-10	4.550632E-10
27.801590	NaN	NaN	NaN	NaN	1.516569E-10	4.550632E-10
27.917597	NaN	NaN	NaN	NaN	1.548889E-10	4.560860E-10
28.000602	NaN	NaN	NaN	NaN	1.548889E-10	4.560860E-10
28.130609	NaN	NaN	NaN	NaN	1.548889E-10	4.560860E-10
28.203613	NaN	NaN	NaN	NaN	1.548889E-10	4.560860E-10
28.268617	NaN	NaN	NaN	NaN	1.548889E-10	4.560860E-10
28.452628	NaN	NaN	NaN	NaN	1.573609E-10	4.425151E-10
28.541633	NaN	NaN	NaN	NaN	1.573609E-10	4.425151E-10
28.643639	NaN	NaN	NaN	NaN	1.573609E-10	4.425151E-10
28.715642	NaN	NaN	NaN	NaN	1.573609E-10	4.425151E-10
28.796647	NaN	NaN	NaN	NaN	1.573609E-10	4.425151E-10
28.882652	NaN	NaN	NaN	NaN	1.573609E-10	4.549574E-10
28.953656	NaN	NaN	NaN	NaN	1.573609E-10	4.549574E-10
29.018660	NaN	NaN	NaN	NaN	1.573609E-10	4.549574E-10
29.108665	NaN	NaN	NaN	NaN	1.573609E-10	4.549574E-10
29.193670	NaN	NaN	NaN	NaN	1.573609E-10	4.549574E-10
29.276675	NaN	NaN	NaN	NaN	1.573609E-10	4.549574E-10
29.422683	NaN	NaN	NaN	NaN	1.543846E-10	4.521713E-10
29.498687	NaN	NaN	NaN	NaN	1.543846E-10	4.521713E-10
29.638695	NaN	NaN	NaN	NaN	1.543846E-10	4.521713E-10
29.721700	NaN	NaN	NaN	NaN	1.543846E-10	4.521713E-10
